id,host_neighbourhood,host_listings_count,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type
51320321,Ottakring,30,Ottakring,,48.21186,16.33842,Entire rental unit,Entire home/apt
51321592,,84,Ottakring,,48.20692,16.32909,Entire rental unit,Entire home/apt
51321744,,2,Penzing,,48.19817,16.29189,Private room in rental unit,Private room
51329955,,2,Neubau,,48.19948,16.34523,Private room in condominium (condo),Private room
51337153,Favoriten,14,Favoriten,,48.17819,16.38272,Entire rental unit,Entire home/apt
51339360,Favoriten,14,Favoriten,,48.17779,16.38249,Entire rental unit,Entire home/apt
51341408,Rudolfsheim-F«¨nfhaus,2,Rudolfsheim-F∂?nfhaus,,48.19987,16.32121,Entire rental unit,Entire home/apt
51343345,,42,Leopoldstadt,,48.21922,16.37987,Private room in rental unit,Private room
51361164,Penzing,31,Rudolfsheim-F∂?nfhaus,,48.19823,16.32819,Entire rental unit,Entire home/apt
51363446,,0,Donaustadt,,48.2141,16.44196,Entire loft,Entire home/apt
51364674,,0,Landstra∂ıe,,48.19555,16.40021,Entire rental unit,Entire home/apt
51365690,,0,Landstra∂ıe,,48.1934,16.40076,Entire rental unit,Entire home/apt
51367641,,0,Landstra∂ıe,,48.19053,16.38883,Entire condominium (condo),Entire home/apt
51380533,,,Floridsdorf,,48.262413,16.43339,Entire residential home,Entire home/apt
51381337,,1,Josefstadt,,48.21397,16.35248,Entire rental unit,Entire home/apt
51385227,,0,Mariahilf,,48.19022,16.34994,Shared room in rental unit,Shared room
51387001,,84,Mariahilf,,48.19597,16.34688,Room in boutique hotel,Private room
51389214,,0,Landstra∂ıe,,48.19737,16.39881,Entire rental unit,Entire home/apt
51395281,,0,Liesing,,48.149452,16.326445,Private room in residential home,Private room
51399591,,2,Ottakring,,48.21409,16.31364,Entire rental unit,Entire home/apt
51407363,,0,Ottakring,,48.20614,16.32844,Entire rental unit,Entire home/apt
51408003,,0,Hernals,,48.21784,16.32091,Entire rental unit,Entire home/apt
51416273,,0,Leopoldstadt,,48.22353,16.40232,Entire condominium (condo),Entire home/apt
51416725,,0,Landstra∂ıe,,48.20996,16.39284,Private room in rental unit,Private room
51419307,,42,Josefstadt,,48.21231,16.34548,Private room in rental unit,Private room
51420952,,42,Josefstadt,,48.21166,16.34292,Private room in rental unit,Private room
51425698,Innere Stadt,9,Leopoldstadt,,48.22012,16.37186,Entire rental unit,Entire home/apt
51428588,,0,Floridsdorf,,48.25546,16.4044,Room in hotel,Private room
51429912,,0,Meidling,,48.18363,16.32397,Entire rental unit,Entire home/apt
51436366,,42,Josefstadt,,48.21414,16.34334,Private room in rental unit,Private room
51436549,,42,Josefstadt,,48.21437,16.34139,Private room in rental unit,Private room
51437272,,42,Josefstadt,,48.21333,16.34458,Private room in rental unit,Private room
51437403,,42,Josefstadt,,48.21302,16.34596,Private room in rental unit,Private room
51437829,,42,Josefstadt,,48.21438,16.34416,Private room in rental unit,Private room
51441782,,0,Neubau,,48.20179,16.34118,Entire rental unit,Entire home/apt
51441789,,3,Hietzing,,48.18949,16.27194,Private room in condominium (condo),Private room
51444366,,42,Landstra∂ıe,,48.19403,16.40793,Private room in rental unit,Private room
51446734,,42,Brigittenau,,48.23562,16.38183,Private room in rental unit,Private room
51447240,,42,Brigittenau,,48.22852,16.36521,Private room in rental unit,Private room
51450683,,1,Favoriten,,48.17264,16.36484,Entire rental unit,Entire home/apt
51457803,,0,W∂?hring,,48.22614,16.33599,Entire condominium (condo),Entire home/apt
51458523,,0,Neubau,,48.199364,16.352182,Entire rental unit,Entire home/apt
51458611,,0,Neubau,,48.20202,16.34085,Private room in rental unit,Private room
51458875,,1,Brigittenau,,48.23171,16.37067,Private room in rental unit,Private room
51460062,,0,Josefstadt,,48.21352,16.34153,Entire rental unit,Entire home/apt
